Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
7,11,1,2
8,3,0,0
9,89,28,20
10,238,305,228
11,85,191,94
12,202,168,101
13,51,25,23
14,5,3,4
15,0,1,0
