Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
7,2,2,16
8,32,4,4
9,22,30,25
10,50,40,27
11,160,257,184
12,252,280,160
13,153,103,51
14,11,5,4
15,2,1,1
