Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
3.2,81,46,101
4,47,19,39
4.2,1,0,0
5,232,139,92
6,87,253,81
7,135,228,143
8,39,3,3
9,6,0,2
10,4,1,0
11,5,0,0
12,3,1,2
13,23,1,3
14,12,8,0
15,9,18,3
16,0,5,2
17,0,0,1
