Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
11,2,0,1
12,1,1,0
13,6,1,0
14,55,67,38
15,131,76,68
16,171,145,134
17,161,205,116
18,102,146,85
19,43,75,24
20,11,5,5
21,1,1,1
