Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
5,1,0,0
6,0,0,0
7,0,0,0
8,22,13,9
9,125,77,66
10,80,41,71
11,215,227,125
12,140,227,131
13,84,118,63
14,17,19,6
15,0,0,1
