Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
5,3,1,0
6,90,170,113
7,279,140,140
8,134,69,43
9,109,86,69
9.3,66,249,103
10,3,6,4
11,0,1,0
