Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
5,0,1,0
6,61,1,4
7,12,0,3
8,251,379,229
9,134,92,44
10,59,36,23
11,148,182,120
12,18,30,49
13,1,1,0
