Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
24,0,0,0
24.2,0,0,1
25.2,0,0,0
26,1,0,0
26.2,0,0,1
27,51,16,13
28,168,115,47
29,140,146,98
29.2,0,2,1
29.3,1,0,0
30,116,204,129
30.2,12,21,11
31,54,52,36
31.2,35,71,47
32,6,4,8
32.2,42,65,60
33,3,1,2
33.1,2,0,1
33.2,24,19,16
34,4,0,1
34.2,0,3,0
35,15,1,0
36,6,1,0
37,2,0,0
38,1,0,0
39,1,0,0
