Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
8,0,1,0
9,1,0,0
10,4,12,2
11,105,214,84
12,153,170,97
13,67,63,48
14,40,40,62
15,36,9,15
16,11,3,1
17,39,44,23
18,74,64,51
18.1,0,0,1
18.3,1,0,0
19,77,71,37
19.3,1,0,1
20,49,23,15
20.3,0,0,5
21,12,7,3
21.3,1,0,20
22,0,1,0
22.3,0,0,6
23,7,0,0
23.3,0,0,1
24,4,0,0
25,1,0,0
26,1,0,0
