Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
11,0,1,0
12,3,0,0
13,2,1,3
14,62,77,37
15,211,197,152
15.2,1,0,0
16,218,172,132
17,145,152,87
18,39,109,58
19,3,12,2
20,0,1,1
