Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
9,0,0,1
10,7,1,1
11,43,4,7
12,84,51,31
12.2,25,1,6
13,168,184,105
13.2,36,5,21
14,144,261,167
14.2,51,17,18
15,55,113,64
15.2,42,26,26
16,3,41,12
16.2,18,11,13
17,0,5,0
17.2,6,1,0
18,0,0,0
18.2,2,1,0
