Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
6,1,0,0
7,8,20,5
8,156,104,57
8.1,0,1,0
9,79,121,43
10,230,185,145
10.3,0,0,1
11,139,148,131
12,60,115,73
13,10,25,17
14,1,3,0
