Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
7,38,0,6
8,38,4,2
9,27,10,11
10,171,159,112
11,170,223,132
12,202,260,177
13,32,59,28
14,6,7,3
15,0,0,1
