Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
16,0,0,0
16.2,1,0,0
17,0,0,1
17.2,1,0,0
18,1,18,6
18.2,12,0,0
19,35,36,38
19.2,2,0,0
20,37,89,40
20.2,0,0,0
21,84,129,72
21.2,0,4,0
22,136,148,78
22.2,3,9,2
22.3,1,0,0
23,116,110,57
23.2,1,2,2
24,91,97,67
24.2,0,1,0
25,81,57,56
25.2,1,0,0
26,48,19,29
26.2,0,0,0
27,16,3,21
27.2,0,0,0
28,10,0,1
28.2,0,0,0
29,4,0,1
29.2,0,0,0
30,1,0,1
30.2,1,0,0
31,0,0,0
31.2,1,0,0
