Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
8,5,10,7
9,3,4,3
10,21,74,44
11,36,55,25
12,89,121,61
13,150,238,129
14,201,120,124
15,130,75,61
16,44,24,15
17,3,1,2
18,2,0,1
