Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
8,5,0,0
9,0,0,0
10,28,0,7
11,99,101,30
12,37,9,6
13,2,5,4
14,53,41,13
15,172,232,201
16,131,276,165
17,143,54,43
18,10,4,3
19,4,0,0
