Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
15,1,1,0
16,38,27,14
17,69,134,80
18,29,53,38
19,95,87,91
20,71,113,60
21,93,27,15
22,94,25,27
23,71,76,66
24,57,83,36
25,53,74,37
26,10,22,8
27,3,0,0
