Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
5,17,6,8
6,0,0,0
7,11,2,3
8,35,4,16
9,118,108,105
10,48,48,31
10.1,1,0,0
11,190,285,156
12,171,152,99
13,60,103,49
14,27,13,5
15,4,1,0
16,2,0,0
