Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
5,0,1,0
6,1,0,0
7,2,0,1
8,68,18,8
9,19,0,4
10,154,204,96
10.3,29,0,1
11,224,297,219
11.3,2,0,0
12,155,170,103
13,30,31,35
14,0,1,5
