Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
9,2,0,0
10,3,6,1
11,1,7,7
12,52,82,54
13,28,89,58
13.2,3,0,0
14,49,97,76
14.2,,1,1
15,113,123,75
15.2,1,0,0
16,117,106,59
16.2,,1,0
17,104,100,59
18,83,56,37
19,68,29,22
20,43,13,13
21,7,7,4
21.2,1,0,0
22,5,5,5
23,3,0,0
24,1,0,1
