Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
10,10,2,3
11,31,56,13
12,44,84,42
13,69,48,54
14,176,57,55
14.3,5,2,2
15,108,108,65
15.3,20,42,24
16,75,98,83
16.3,70,44,24
17,19,34,20
17.3,34,96,70
18,2,4,3
18.3,16,36,12
19,0,0,0
19.3,5,11,2
