Allele,AFRICAN_AMERICAN,CAUCASIAN,HISPANIC
9,2,1,0
9.1,0,1,0
10,58,152,159
11,248,248,141
11.3,30,44,21
12,113,34,17
12.3,4,3,1
13,30,21,11
13.3,2,0,0
14,183,174,97
14.3,1,0,0
15,13,43,23
16,0,1,1
17,0,0,1
